Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Confidence Level),Custom field (Development),Custom field (Epic Link),Custom field (Raised During),Custom field (Rank),Sprint,Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment
Licensee anonymous user: homepage footer webforms,CGAA-2512,30301,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Medium,,,kathlynw,kathlynw,29/Jan/18 2:59 PM,02/Feb/18 3:26 PM,05/Feb/18 1:14 PM,,,,,0,,," !image-2018-01-29-14-57-31-864.png|thumbnail! 
Feature: Footer webform links on homepage 
Benefit:  In order to communicate with GAA! team re: liscencing, syndication, comments, corrections, and media requests
 Actor: As an anonymous licesnsee site user
 Action:  I can click a linked webform title
 Result of action: Then I see the page load with the same webform title at the top
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 2:57 PM;kathlynw;image-2018-01-29-14-57-31-864.png;https://ownsourcing.atlassian.net/secure/attachment/24636/image-2018-01-29-14-57-31-864.png,,,,3.0,4=Unknown,{},,,1|i00diq:,,,,,"02/Feb/18 2:13 PM;kathlynw;  Scenario: submitting a reader input form
    Given I am on any footer form page
    And I am not logged in
    And I have filled in all required fields (marked with an asterisk)
    And I click the ""Submit"" button
    And sufficient time has passed for batch submissions to be processed by goaskalice.green.edu 
    When I visit goaskalice.columbia.edu/tool/ri-admin2
(Given I am a logged in, and I am on the central site)
    Then I see {{ my form submission }} in the queue    


",02/Feb/18 3:26 PM;kathlynw;Do we need to break this out for each reader input form?,,
Licensee anonymous user: Subscribe/Get Alice! in your Inbox,CGAA-2514,30303,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Medium,,,kathlynw,kathlynw,29/Jan/18 3:09 PM,02/Feb/18 3:25 PM,13/Feb/18 8:24 PM,,,,,0,,," !image-2018-01-29-15-07-25-371.png|thumbnail! 

Feature: Homepage Subscribe menu/Get Alice! in Your Box sign up webform
Benefit:  In order to sign up to receive the weekly GAA! email message
 Actor: As an anonymous licensee user
 Action:  I can click a linked ""Get Alice! in Your Box"" item 
 Result of action: Then I see the webform page load with the same title at the top
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 3:07 PM;kathlynw;image-2018-01-29-15-07-25-371.png;https://ownsourcing.atlassian.net/secure/attachment/24638/image-2018-01-29-15-07-25-371.png,,,,3.0,4=Unknown,{},,,1|i00dj6:,,,,,"02/Feb/18 2:12 PM;kathlynw;  Scenario: signing up for Get Alice! in Your Box
    Given I am on http://lprod.ownsourcing.com/get-alice-in-your-inbox-weekly
    And I am not logged in
    And I have filled in all required fields (marked with an asterisk)
    And I click the ""Submit"" button
    And sufficient time has passed for batch submissions to be processed 
    When I visit Alice!'s mailchimp account to prepare 
(Given I am a logged in, and I am on the central site)
    Then I can see new subscribers added to mailing list


",,,
Central site management of adding licensee users ,CGAA-2528,30317,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:07 PM,02/Feb/18 3:24 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-02-02-15-02-19-788.png|thumbnail! 

Feature: Manage users tool
Benefit:  In order to add/edit/block/delete licensee users
 Actor: As a logged in central site manager to the licensee site
 Action:  I can click ""manage users"" on the licensee site
 Result of action: Then I see the page load with the same title at the top

 !image-2018-02-02-15-04-41-168.png|thumbnail! 
  Scenario: adding a licensee user account
    Given I am on http://lprod.ownsourcing.com/admin/people
    And I am logged in as central site manager to the licensee site
    And I click the ""add user"" button
And I enter information in all required fields
And I select appropriate ""status"" and ""roles"" (licensee) from the available options
and I click ""create new account""
    When I visit http://lprod.ownsourcing.com/admin/people
    Then I see [new user name and role(s)] in the user list
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Feb/18 3:02 PM;kathlynw;image-2018-02-02-15-02-19-788.png;https://ownsourcing.atlassian.net/secure/attachment/24653/image-2018-02-02-15-02-19-788.png,02/Feb/18 3:04 PM;kathlynw;image-2018-02-02-15-04-41-168.png;https://ownsourcing.atlassian.net/secure/attachment/24652/image-2018-02-02-15-04-41-168.png,02/Feb/18 3:16 PM;kathlynw;screenshot-1.png;https://ownsourcing.atlassian.net/secure/attachment/24654/screenshot-1.png,,3.0,4=Unknown,{},,,1|i00dma:,,,,,,,,
Central site management of licensee editing user roles ,CGAA-2529,30318,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:18 PM,02/Feb/18 3:22 PM,13/Feb/18 9:39 PM,,,,,0,,,"Scenario: editing licensee user roles
Given I am on http://lprod.ownsourcing.com/user
And I am logged in as central site manager to the licensee site
And I click the ""manage users"" button
And I click ""edit"" next to desired user name
And I select/deselect appropriate ""roles"" from the available options
And I change any other fields as necessary
and I click ""save""
When I visit http://lprod.ownsourcing.com/admin/people
Then I see [updated roles or other information] next to the desired name in the user list",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i00dmi:,,,,,,,,
Central site management of blocking licensee users,CGAA-2531,30320,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:20 PM,02/Feb/18 3:20 PM,13/Feb/18 9:39 PM,,,,,0,,,"Scenario: blocking licensee user account
Given I am on http://lprod.ownsourcing.com/user
And I am logged in as central site manager to the licensee site
And I click the ""manage users"" button
And I click ""edit"" next to desired user name
And I click ""blocked"" under ""status
When I visit http://lprod.ownsourcing.com/admin/people
Then I will not see ""blocked"" under ""status"" next to the user name in the user list
 !screenshot-1.png|thumbnail! ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i00dmy:,,,,,,,,
Central site management of licensee deleting user roles,CGAA-2530,30319,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 3:19 PM,02/Feb/18 3:19 PM,13/Feb/18 9:39 PM,,,,,0,,,"Scenario: deleting licensee user account
Given I am on http://lprod.ownsourcing.com/user
And I am logged in as central site manager to the licensee site
And I click the ""manage users"" button
And I click ""edit"" next to desired user name
And I click ""cancel account""
When I visit http://lprod.ownsourcing.com/admin/people
Then I will not see the user name in the user list
 !image-2018-02-02-15-19-39-297.png|thumbnail! ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i00dmq:,,,,,,,,
General site function story: Returning to homepage from any other site page,CGAA-2527,30316,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 2:53 PM,02/Feb/18 2:53 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-02-02-14-51-28-234.png|thumbnail! 
 !image-2018-02-02-14-52-00-698.png|thumbnail! 

Feature: Link to return to homepage
Benefit:  In order to return to the GAA! homepage from any other page
 Actor: As an anonymous user 
 Action:  I can click the linked GAA! logo on the upper left hand corner on any page
 Result of action: Then I see the page load with the homepage content
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Feb/18 2:51 PM;kathlynw;image-2018-02-02-14-51-28-234.png;https://ownsourcing.atlassian.net/secure/attachment/24651/image-2018-02-02-14-51-28-234.png,02/Feb/18 2:52 PM;kathlynw;image-2018-02-02-14-52-00-698.png;https://ownsourcing.atlassian.net/secure/attachment/24650/image-2018-02-02-14-52-00-698.png,,,3.0,4=Unknown,{},,,1|i00dm2:,,,,,,,,
Licensee site user story: consolidate licensee site question submissions,CGAA-2526,30315,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,02/Feb/18 2:45 PM,02/Feb/18 2:45 PM,13/Feb/18 9:39 PM,,,,,0,,,"Kay — I added your language here, since it's more specific than my own.
Feature: consolidate licensee site question submissions
  As an anonymous visitor to goaskalice.green.edu
  I can submit a question
  So that it enters the GAA! Q&A workflow
 
 Scenario: submitting a question
    Given I am on goaskalice.green.edu/node/add/question
    And I am not logged in
    And I have entered a title
    And I click the ""Submit"" button
    And sufficient time has passed for batch submissions to be processed by goaskalice.green.edu # match to cron setting
    When I visit http://goaskalice.columbia.edu/tool/q-admin2/all
    Then I see {{ my title }} in the queue    

",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i00dlu:,,,,,,,,
Licensee logged-in user: Deleting local resource,CGAA-2524,30313,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 4:56 PM,29/Jan/18 4:56 PM,09/Feb/18 12:14 AM,,,,,0,,," !image-2018-01-29-16-54-16-321.png|thumbnail! 
Feature: Delete local resource for licensee site
Benefit:  In order to remove one of 5 entries for local resources for licensee sites
 Actor: As an logged in licensee user
 Action:  I can click on ""delete this local resource""
 Result of action: Then I see the page load with a question prompt: ""Are you sure you want to delete [resource name]?
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 4:54 PM;kathlynw;image-2018-01-29-16-54-16-321.png;https://ownsourcing.atlassian.net/secure/attachment/24649/image-2018-01-29-16-54-16-321.png,,,,3.0,4=Unknown,{},,,1|i00dle:,,,,,,,,
Licensee logged-in user: Changing user password,CGAA-2523,30312,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 4:50 PM,29/Jan/18 4:50 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-01-29-16-48-26-652.png|thumbnail! 
Feature: Ability to change user password
Benefit:  In order to update password after initial log in permissions granted from Columbia
 Actor: As an logged-in licensee user
 Action:  I can click ""edit"" under user name
 Result of action: Then I see the page load with the form to enter current password, enter/confirm new password, and save
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 4:48 PM;kathlynw;image-2018-01-29-16-48-26-652.png;https://ownsourcing.atlassian.net/secure/attachment/24648/image-2018-01-29-16-48-26-652.png,,,,3.0,4=Unknown,{},,,1|i00dl6:,,,,,,,,
Licensee logged-in user: Editing local resources,CGAA-2522,30311,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 4:43 PM,29/Jan/18 4:43 PM,12/Feb/18 8:55 AM,,,,,0,,," !image-2018-01-29-16-41-00-807.png|thumbnail! 
Feature: Editing local resources
Benefit:  In order to add information about and display local resources on anonymous view of licensee site
 Actor: As an logged in licensee user
 Action:  I can click on ""edit this information"" associated with a given resource type
 Result of action: Then I see the page load with the ""edit local resource [type]"" at the top
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 4:41 PM;kathlynw;image-2018-01-29-16-41-00-807.png;https://ownsourcing.atlassian.net/secure/attachment/24647/image-2018-01-29-16-41-00-807.png,,,,3.0,4=Unknown,{},,,1|i00dky:,,,,,,,,
Scenario: logging in to licensee GAA! site,CGAA-2521,30310,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 4:38 PM,29/Jan/18 4:38 PM,11/Feb/18 8:59 AM,,,,,0,,,"
 !image-2018-01-29-16-33-27-436.png|thumbnail! 
Scenario: licensee log in exists poll creation form exists
Given I am at the goaskalice.[university name].edu/user
When I complete the fields and click submit
Then I get page reload with user name at the top of the page and forms to edit/add resources
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 4:33 PM;kathlynw;image-2018-01-29-16-33-27-436.png;https://ownsourcing.atlassian.net/secure/attachment/24646/image-2018-01-29-16-33-27-436.png,,,,3.0,4=Unknown,{},,,1|i00dkq:,,,,,,,,
Licensee anonymous user: custom licensee site URL,CGAA-2520,30309,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 3:49 PM,29/Jan/18 3:49 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-01-29-15-47-40-664.png|thumbnail! 
Feature: Licensee university-specific GAA! URL
Benefit:  In order to visit a specific licensee GAA! site
 Actor: As an anonymous licensee site user
 Action:  I can type ""goaskalice.[university name].edu
 Result of action: Then I see the page load with the licensee-specific GAA! site for that university

",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 3:47 PM;kathlynw;image-2018-01-29-15-47-31-303.png;https://ownsourcing.atlassian.net/secure/attachment/24645/image-2018-01-29-15-47-31-303.png,29/Jan/18 3:47 PM;kathlynw;image-2018-01-29-15-47-40-664.png;https://ownsourcing.atlassian.net/secure/attachment/24644/image-2018-01-29-15-47-40-664.png,,,3.0,4=Unknown,{},,,1|i00dki:,,,,,,,,
"Licensee anonymous user: homepage ""About Alice!"" menu",CGAA-2519,30308,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 3:45 PM,29/Jan/18 3:45 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-01-29-15-43-45-527.png|thumbnail! 
Feature: Homepage ""About Alice!"" menu
Benefit:  In order to visit site pages on the site specific to the history, reader feedback, awards, and creators of the GAA! site
 Actor: As an anonymous licensee user
 Action:  I can click the ""About Alice!"" menu
 Result of action: Then I see the drop down menu with ""All About Alice!"", ""Go Ask Alice! History"", ""Rants & Raves"", and ""FAQs"" options/pages
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 3:43 PM;kathlynw;image-2018-01-29-15-43-45-527.png;https://ownsourcing.atlassian.net/secure/attachment/24643/image-2018-01-29-15-43-45-527.png,,,,3.0,4=Unknown,{},,,1|i00dka:,,,,,,,,
"Licensee anonymous user: homepage ""Find Help"" menu",CGAA-2518,30307,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 3:42 PM,29/Jan/18 3:42 PM,12/Feb/18 3:01 PM,,,,,0,,," !image-2018-01-29-15-41-00-617.png|thumbnail! 
Feature: Homepage ""Find Help"" menu
Benefit:  In order to visit pages with local emergency and on campus resources
 Actor: As an anonymous licensee site user
 Action:  I can click the ""Find Help"" menu
 Result of action: Then I see the drop down menu with ""In an emergency"" and ""On-campus resources"" options/pages
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 3:41 PM;kathlynw;image-2018-01-29-15-41-00-617.png;https://ownsourcing.atlassian.net/secure/attachment/24642/image-2018-01-29-15-41-00-617.png,,,,3.0,4=Unknown,{},,,1|i00dk2:,,,,,,,,
Licensee anonymous user: Quizzes homepage menu,CGAA-2517,30306,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,29/Jan/18 3:37 PM,29/Jan/18 3:37 PM,13/Feb/18 9:39 PM,,,,,0,,," !image-2018-01-29-15-36-26-169.png|thumbnail! 
Feature: Homepage Quizzes menu
Benefit:  In order to visit the quizzes or polls pages
 Actor: As an anonymous licensee site user
 Action:  I can click on the Quizzes menu
 Result of action: Then I see the drop down menu with the ""polls"" and ""quizzes"" listed
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Jan/18 3:36 PM;kathlynw;image-2018-01-29-15-36-26-169.png;https://ownsourcing.atlassian.net/secure/attachment/24641/image-2018-01-29-15-36-26-169.png,,,,3.0,4=Unknown,{},,,1|i00dju:,,,,,,,,
